station,lead_months,date,forecast_ms
Balakot,1,2024-01-01,0.19828028976917267
Balakot,3,2024-03-01,0.3210928440093994
Balakot,6,2024-06-01,0.39190542697906494
Bannu,1,2024-01-01,0.7417831420898438
Bannu,3,2024-03-01,1.1187231540679932
Bannu,6,2024-06-01,1.984574556350708
Cherat,1,2024-01-01,1.719619870185852
Cherat,3,2024-03-01,1.6352505683898926
Cherat,6,2024-06-01,1.4419301748275757
Chitral,1,2024-01-01,1.948807954788208
Chitral,3,2024-03-01,1.3589346408843994
Chitral,6,2024-06-01,1.8010683059692383
Dir Upper,1,2024-01-01,0.45279157161712646
Dir Upper,3,2024-03-01,0.5546292066574097
Dir Upper,6,2024-06-01,0.6477676630020142
Drosh,1,2024-01-01,1.5725817680358887
Drosh,3,2024-03-01,1.4752163887023926
Drosh,6,2024-06-01,2.7738075256347656
Kakul,1,2024-01-01,0.23602016270160675
Kakul,3,2024-03-01,0.4083414077758789
Kakul,6,2024-06-01,0.5973319411277771
Parachinar,1,2024-01-01,1.589145302772522
Parachinar,3,2024-03-01,1.615408182144165
Parachinar,6,2024-06-01,1.6447831392288208
Peshawar,1,2024-01-01,0.3216296434402466
Peshawar,3,2024-03-01,0.6303826570510864
Peshawar,6,2024-06-01,0.7854377031326294
Saidu Sharif,1,2024-01-01,0.11056043207645416
Saidu Sharif,3,2024-03-01,0.15955980122089386
Saidu Sharif,6,2024-06-01,0.28584980964660645
